[2017/02/19 04:15:50] §6[§a§lMember§6]-§f§lfybit§r executed /gm 1 at Location{world=CraftWorld{name=world},x=-4969.5,y=40.0,z=-160.5,pitch=-47.999992,yaw=125.54997}
[2017/02/19 04:16:49] §6[§a§lMember§6]-§f§lfybit§r executed /deop fybit at Location{world=CraftWorld{name=world},x=-4931.265985074917,y=86.0,z=-20.525234354425432,pitch=25.650023,yaw=322.04938}
[2017/02/19 05:38:05] §6[§a§lMember§6]-§f§lfybit§r executed /spawn at Location{world=CraftWorld{name=world},x=-164.69999998807907,y=61.0,z=-78.47864106965447,pitch=29.099947,yaw=-265.5003}
[2017/02/19 05:38:13] §6[§a§lMember§6]-§f§lfybit§r executed /spawn at Location{world=CraftWorld{name=world},x=-166.40662942528047,y=63.09375,z=-80.14044733660201,pitch=11.249939,yaw=-252.7503}
[2017/02/19 06:14:38] §6[§a§lMember§6]-§f§lfybit§r executed /weather sun at Location{world=CraftWorld{name=world},x=-159.5,y=62.0,z=-77.5,pitch=5.2499933,yaw=-59.700016}
[2017/02/19 06:37:47] §6[§a§lMember§6]-§f§lfybit§r executed //wand at Location{world=CraftWorld{name=world},x=-159.74020996461869,y=63.3758281189277,z=-79.39208881493572,pitch=43.500042,yaw=-279.14993}
[2017/02/19 06:38:17] §6[§a§lMember§6]-§f§lfybit§r executed //set 2 at Location{world=CraftWorld{name=world},x=-147.55267558448347,y=62.56133115864273,z=-78.59529747195408,pitch=49.800064,yaw=-175.19969}
[2017/02/19 06:38:32] §6[§a§lMember§6]-§f§lfybit§r executed /gm 0 at Location{world=CraftWorld{name=world},x=-159.99951425226217,y=62.0,z=-73.46253644641843,pitch=25.500063,yaw=-209.6998}
[2017/02/19 06:39:38] §6[§a§lMember§6]-§f§lfybit§r executed /deop fybit at Location{world=CraftWorld{name=world},x=-160.20336616591962,y=62.0,z=-73.2371288821567,pitch=-9.899926,yaw=-165.44978}
[2017/02/19 06:48:59] §6[§a§lMember§6]-§f§lfybit§r executed /list at Location{world=CraftWorld{name=world},x=-157.92133318689898,y=62.0,z=-80.30089719418929,pitch=2.55,yaw=-81.0}
[2017/02/19 06:49:18] §6[§a§lMember§6]-§f§lfybit§r executed /asw save at Location{world=CraftWorld{name=world},x=-158.8247383343668,y=62.0,z=-78.4918324367169,pitch=14.849993,yaw=-339.0}
[2017/02/19 06:58:28] §6[§a§lMember§6]-§f§lfybit§r executed /list at Location{world=CraftWorld{name=world},x=-157.0581194301999,y=62.0,z=-76.46573945561484,pitch=11.399992,yaw=-27.749817}
[2017/02/19 06:58:39] §6[§a§lMember§6]-§f§lfybit§r executed /list at Location{world=CraftWorld{name=world},x=-157.0581194301999,y=62.0,z=-76.46573945561484,pitch=12.149992,yaw=-27.599823}
[2017/02/19 06:59:26] [§2HUB§f] fybit§r executed /list at Location{world=CraftWorld{name=world},x=-157.25876831319192,y=62.0,z=-77.43091602515695,pitch=12.149992,yaw=-27.599823}
[2017/02/19 07:00:40] [§2HUB§f]fybit§r executed /tpa dd at Location{world=CraftWorld{name=world},x=-158.0184501206317,y=62.0,z=-78.00816216661921,pitch=16.499987,yaw=-191.24982}
[2017/02/19 07:00:45] [§2HUB§f]fybit§r executed /tpa dd at Location{world=CraftWorld{name=world},x=-158.0184501206317,y=62.0,z=-78.00816216661921,pitch=16.499987,yaw=-191.24982}
[2017/02/19 07:04:14] [§2HUB§f] fybit§r executed /dfasdfdas at Location{world=CraftWorld{name=world},x=-179.66822193303537,y=63.0,z=-75.66663530024964,pitch=65.39996,yaw=-163.64972}
[2017/02/19 07:08:36] [§2HUB§f] fybit§r executed /asdasd at Location{world=CraftWorld{name=world},x=-179.21105276033782,y=63.0,z=-76.0225331788273,pitch=13.349943,yaw=-120.89993}
[2017/02/19 07:08:41] [§2HUB§f] fybit§r executed /list at Location{world=CraftWorld{name=world},x=-179.21105276033782,y=63.0,z=-76.0225331788273,pitch=13.349943,yaw=-120.89993}
[2017/02/19 07:10:37] [§2HUB§f] fybit§r executed /list at Location{world=CraftWorld{name=world},x=-168.38404764333154,y=63.0,z=-84.46299823068256,pitch=14.549949,yaw=-147.45001}
