[2017/02/27 15:05:33] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /l anhthetq96 at Location{world=CraftWorld{name=world},x=-5033.224669764561,y=61.5,z=-200.97013467013616,pitch=-25.050066,yaw=110.87856}
[2017/02/27 15:07:23] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /weather sun at Location{world=CraftWorld{name=world},x=-5044.596379548268,y=85.53260175552,z=-148.1780677399342,pitch=47.39988,yaw=151.52795}
[2017/02/27 15:09:57] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /warp boss at Location{world=CraftWorld{name=world},x=-5066.8088153706585,y=68.14778563592333,z=-160.22957667958204,pitch=-0.7500325,yaw=93.92761}
[2017/02/27 15:10:57] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //wand at Location{world=CraftWorld{name=world},x=-4868.2758326762305,y=80.38734104270387,z=366.36454138463523,pitch=37.79991,yaw=170.66945}
[2017/02/27 15:11:05] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-4883.002427189605,y=78.89227502325689,z=348.3263738444267,pitch=37.349926,yaw=232.31946}
[2017/02/27 15:11:15] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-4878.790703928894,y=78.0,z=347.72228137367676,pitch=25.949953,yaw=161.36948}
[2017/02/27 15:11:50] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-4883.490745108416,y=76.75403280973327,z=349.3074044147033,pitch=28.79994,yaw=217.16939}
[2017/02/27 15:11:58] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-4867.196763750944,y=76.75403280973327,z=348.92237950530784,pitch=51.74994,yaw=198.5694}
[2017/02/27 15:12:05] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-4875.971007968775,y=76.0045029649342,z=351.72151671122964,pitch=32.69994,yaw=151.76941}
[2017/02/27 15:12:20] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //set 2 at Location{world=CraftWorld{name=world},x=-4866.300000011921,y=76.87867320676192,z=348.626737359943,pitch=50.550007,yaw=135.2694}
[2017/02/27 15:12:31] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //set 2 at Location{world=CraftWorld{name=world},x=-4868.257270972829,y=76.0,z=345.14677341974897,pitch=29.999989,yaw=192.56946}
[2017/02/27 15:12:37] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed //set 2 at Location{world=CraftWorld{name=world},x=-4871.770062393463,y=76.0,z=346.08381935785616,pitch=20.249994,yaw=180.71948}
[2017/02/27 15:15:41] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /nbte at Location{world=CraftWorld{name=world},x=-4929.572358230182,y=78.0,z=369.71435865034647,pitch=70.5,yaw=203.06927}
