[2017/03/02 00:00:13] fybit executed //copy at Location{world=CraftWorld{name=world},x=-359.2769981362292,y=5.038296540264108,z=212.56474018004602,pitch=34.649986,yaw=-169.1892}
[2017/03/02 00:01:58] fybit executed //copy at Location{world=CraftWorld{name=world},x=-360.36126336401884,y=4.0,z=209.72056547665179,pitch=33.44998,yaw=-180.43925}
[2017/03/02 00:02:07] fybit executed //rotate at Location{world=CraftWorld{name=world},x=-352.3365238865932,y=4.0,z=210.78557930181682,pitch=11.999985,yaw=-167.38927}
[2017/03/02 00:02:22] fybit executed //rotate 1 1 1 at Location{world=CraftWorld{name=world},x=-351.5235454295312,y=4.0,z=211.78575784018616,pitch=11.999985,yaw=-167.38927}
[2017/03/02 00:02:29] fybit executed //paste at Location{world=CraftWorld{name=world},x=-352.7222165899018,y=4.0,z=212.6265282697591,pitch=10.949984,yaw=-176.53929}
[2017/03/02 00:03:28] fybit executed //copy at Location{world=CraftWorld{name=world},x=-360.4319009970116,y=4.0,z=210.10109599350722,pitch=8.250075,yaw=-182.08917}
[2017/03/02 00:03:40] fybit executed //rotate 1 0 0 at Location{world=CraftWorld{name=world},x=-365.5142062073695,y=4.0,z=211.3117696146895,pitch=19.05001,yaw=-186.43916}
[2017/03/02 00:03:46] fybit executed //paste at Location{world=CraftWorld{name=world},x=-367.39606152923733,y=4.0,z=209.11794281578528,pitch=17.10001,yaw=-178.03914}
[2017/03/02 00:04:04] fybit executed //rotate 1 1 0 at Location{world=CraftWorld{name=world},x=-367.0106877023513,y=4.0,z=217.0607251029909,pitch=17.100016,yaw=-176.98927}
[2017/03/02 00:04:06] fybit executed //paste at Location{world=CraftWorld{name=world},x=-367.0106877023513,y=4.0,z=217.0607251029909,pitch=17.100016,yaw=-176.98927}
[2017/03/02 00:04:41] fybit executed //paste 1 -1 1 at Location{world=CraftWorld{name=world},x=-372.63325638901034,y=4.0,z=212.5746040677382,pitch=15.900054,yaw=-179.3897}
[2017/03/02 00:04:51] fybit executed //rotate 1 -1 10 at Location{world=CraftWorld{name=world},x=-372.63325638901034,y=4.0,z=212.5746040677382,pitch=15.900054,yaw=-179.3897}
[2017/03/02 00:04:56] fybit executed //paste at Location{world=CraftWorld{name=world},x=-372.63325638901034,y=4.0,z=212.5746040677382,pitch=10.050054,yaw=-175.93971}
[2017/03/02 00:05:06] fybit executed /gm 3 at Location{world=CraftWorld{name=world},x=-348.65694368324006,y=19.248013170755872,z=175.09354367097905,pitch=-9.299987,yaw=-152.8395}
[2017/03/02 00:05:22] fybit executed /gm 3 at Location{world=CraftWorld{name=world},x=-310.30754357623687,y=25.440991285622697,z=156.8642770414108,pitch=6.750016,yaw=39.16059}
[2017/03/02 00:05:31] fybit executed /weather sun at Location{world=CraftWorld{name=world},x=-352.3870544887741,y=22.82150119810122,z=210.39632037205348,pitch=10.500013,yaw=52.960587}
[2017/03/02 00:05:36] fybit executed /gm 1 at Location{world=CraftWorld{name=world},x=-371.6979952902107,y=5.947235191616477,z=212.41031206135696,pitch=1.7999994,yaw=186.76054}
[2017/03/02 00:05:57] fybit executed //copy at Location{world=CraftWorld{name=world},x=-367.50401017882734,y=4.0,z=209.18680078794586,pitch=27.000021,yaw=180.16043}
[2017/03/02 00:06:15] fybit executed //flip at Location{world=CraftWorld{name=world},x=-367.49038874763403,y=4.0,z=194.00224305724302,pitch=21.000021,yaw=183.0104}
[2017/03/02 00:06:25] fybit executed //paste at Location{world=CraftWorld{name=world},x=-367.49038874763403,y=4.0,z=194.00224305724302,pitch=21.000021,yaw=183.0104}
[2017/03/02 00:06:46] fybit executed //copy at Location{world=CraftWorld{name=world},x=-367.6966561067723,y=4.0,z=208.48592495999256,pitch=23.699991,yaw=184.96027}
[2017/03/02 00:06:50] fybit executed //flip at Location{world=CraftWorld{name=world},x=-367.6966561067723,y=4.0,z=208.48592495999256,pitch=23.699991,yaw=184.96027}
[2017/03/02 00:07:00] fybit executed //paste at Location{world=CraftWorld{name=world},x=-368.43060318057655,y=4.0,z=206.53351438299248,pitch=27.59999,yaw=2.4103136}
[2017/03/02 00:07:00] wolf executed / at Location{world=CraftWorld{name=world},x=-318.24457946124204,y=24.00158061876301,z=139.48232690493464,pitch=-5.2500234,yaw=-75.617065}
