[2017/03/08 00:06:52] §f[§aD§f] §ffybit11§r executed /WORLD at Location{world=CraftWorld{name=plot},x=209.55421522404362,y=65.0,z=514.2745848428897,pitch=12.450002,yaw=64.80002}
[2017/03/08 00:07:00] §f[§aD§f] §ffybit11§r executed /WORLD pvp at Location{world=CraftWorld{name=world_nether},x=26.5,y=52.0,z=64.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:07:09] §f[§aD§f] §ffybit11§r executed /world list at Location{world=CraftWorld{name=world_nether},x=29.04093844844299,y=55.0,z=72.15192530177958,pitch=20.999996,yaw=-125.7}
[2017/03/08 00:07:14] §f[§aD§f] §ffybit11§r executed /world list 5 at Location{world=CraftWorld{name=world_nether},x=29.14518578516075,y=54.0,z=73.30000001192093,pitch=20.999996,yaw=-125.7}
[2017/03/08 00:07:23] §f[§aD§f] §ffybit11§r executed /world 5 at Location{world=CraftWorld{name=world_nether},x=28.80172448586179,y=55.0,z=71.89361420860234,pitch=20.999996,yaw=-125.7}
[2017/03/08 00:07:46] §f[§aD§f] §ffybit11§r executed /mv who at Location{world=CraftWorld{name=test},x=224.5,y=65.0,z=570.049465885232,pitch=0.0,yaw=0.0}
[2017/03/08 00:08:07] §f[§aD§f] §ffybit11§r executed /mv list at Location{world=CraftWorld{name=test},x=62.23680773649072,y=109.85682373065102,z=514.6546942350947,pitch=5.850003,yaw=71.699974}
[2017/03/08 00:08:21] §f[§aD§f] §ffybit11§r executed /mv delete test at Location{world=CraftWorld{name=test},x=64.96365339462243,y=109.85682373065102,z=512.0544448827332,pitch=5.850003,yaw=71.699974}
[2017/03/08 00:08:29] §f[§aD§f] §ffybit11§r executed /mvconfirm at Location{world=CraftWorld{name=test},x=69.09263487910576,y=109.85682373065102,z=514.1146135929852,pitch=5.850003,yaw=71.699974}
[2017/03/08 00:08:34] §f[§aD§f] §ffybit11§r executed /mv list at Location{world=CraftWorld{name=world},x=-78.25249164499192,y=46.0,z=179.23926148475394,pitch=0.0,yaw=0.0}
[2017/03/08 00:08:39] §f[§aD§f] §ffybit11§r executed /mv pvp at Location{world=CraftWorld{name=world},x=-78.25249164499192,y=46.0,z=179.23926148475394,pitch=0.0,yaw=0.0}
[2017/03/08 00:08:48] §f[§aD§f] §ffybit11§r executed /mv at Location{world=CraftWorld{name=world},x=-73.15276137982235,y=47.0,z=182.8540422320917,pitch=0.0,yaw=0.0}
[2017/03/08 00:09:00] §f[§aD§f] §ffybit11§r executed /worl pvp at Location{world=CraftWorld{name=world},x=-73.15276137982235,y=47.0,z=182.8540422320917,pitch=0.0,yaw=0.0}
[2017/03/08 00:09:03] §f[§aD§f] §ffybit11§r executed /world pvp at Location{world=CraftWorld{name=world},x=-73.15276137982235,y=47.0,z=182.8540422320917,pitch=0.0,yaw=0.0}
[2017/03/08 00:09:34] §f[§aD§f] §ffybit11§r executed /world 5 at Location{world=CraftWorld{name=world},x=-79.5237033788913,y=46.0,z=178.7175843755308,pitch=54.600002,yaw=313.34998}
[2017/03/08 00:09:36] §f[§aD§f] §ffybit11§r executed /world 4 at Location{world=CraftWorld{name=world},x=-79.5237033788913,y=46.0,z=178.7175843755308,pitch=54.600002,yaw=313.34998}
[2017/03/08 00:09:39] §f[§aD§f] §ffybit11§r executed /world 4 at Location{world=CraftWorld{name=world},x=-79.5237033788913,y=46.0,z=178.7175843755308,pitch=54.600002,yaw=313.34998}
[2017/03/08 00:10:25] §f[§aD§f] §ffybit11§r executed /world 4\ at Location{world=CraftWorld{name=world},x=-81.17828354831377,y=45.5,z=176.51475907489836,pitch=43.650013,yaw=10.200043}
[2017/03/08 00:10:27] §f[§aD§f] §ffybit11§r executed /world 4 at Location{world=CraftWorld{name=world},x=-81.17828354831377,y=45.5,z=176.51778935633666,pitch=43.650013,yaw=10.200043}
[2017/03/08 00:10:29] §f[§aD§f] §ffybit11§r executed /world 3 at Location{world=CraftWorld{name=world},x=-80.54668748301934,y=45.5,z=176.62613609228308,pitch=43.650013,yaw=10.200043}
[2017/03/08 00:10:38] §f[§aD§f] §ffybit11§r executed /mv delete pvp at Location{world=CraftWorld{name=plot},x=-81.35704102938978,y=65.0,z=176.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:10:45] §f[§aD§f] §ffybit11§r executed /mvconfirm at Location{world=CraftWorld{name=plot},x=-81.35704102938978,y=65.0,z=176.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:11:15] §f[§aD§f] §ffybit11§r executed /mv create pvp NORMAl at Location{world=CraftWorld{name=plot},x=-84.69253928835332,y=65.0,z=178.85660462231763,pitch=-14.700001,yaw=0.74999994}
[2017/03/08 00:12:17] §f[§aD§f] §ffybit11§r executed /worl at Location{world=CraftWorld{name=plot},x=-84.33324491356151,y=65.0,z=178.18030432379064,pitch=-1.8000001,yaw=-20.85001}
[2017/03/08 00:12:20] §f[§aD§f] §ffybit11§r executed /world 5 at Location{world=CraftWorld{name=plot},x=-84.33324491356151,y=65.0,z=178.18030432379064,pitch=-1.8000001,yaw=-20.85001}
[2017/03/08 00:12:22] §f[§aD§f] §ffybit11§r executed /world 4 at Location{world=CraftWorld{name=plot},x=-83.97759885176166,y=65.5,z=177.38235648936183,pitch=-1.8000001,yaw=-20.85001}
[2017/03/08 00:15:02] §f[§aD§f] §ffybit11§r executed /plot at Location{world=CraftWorld{name=pvp},x=-128.8597922408576,y=52.95015220819031,z=140.40305671832763,pitch=34.049923,yaw=60.30008}
[2017/03/08 00:15:09] §f[§aD§f] §ffybit11§r executed /plot help admin at Location{world=CraftWorld{name=pvp},x=-128.87054765723457,y=52.95015220819031,z=140.40305671832763,pitch=34.049923,yaw=60.30008}
[2017/03/08 00:15:35] §f[§aD§f] §ffybit11§r executed /asw serverstatus at Location{world=CraftWorld{name=pvp},x=-128.87054765723457,y=52.95015220819031,z=140.40305671832763,pitch=34.049923,yaw=60.30008}
[2017/03/08 00:15:48] §f[§aD§f] §ffybit11§r executed /mv who at Location{world=CraftWorld{name=pvp},x=-166.74263599815026,y=52.95015220819031,z=160.07194408459625,pitch=47.39992,yaw=348.4501}
[2017/03/08 00:16:03] §f[§aD§f] §ffybit11§r executed /tp 0 100 0 at Location{world=CraftWorld{name=pvp},x=-163.94342041511456,y=52.95015220819031,z=171.71581548307228,pitch=15.600011,yaw=105.300385}
[2017/03/08 00:16:10] §f[§aD§f] §ffybit11§r executed /tp at Location{world=CraftWorld{name=pvp},x=-155.07737023938353,y=52.95015220819031,z=174.12526532258764,pitch=15.600011,yaw=105.300385}
[2017/03/08 00:17:57] §f[§aD§f] §ffybit11§r executed /time set 18000 at Location{world=CraftWorld{name=pvp},x=324.5913460690956,y=151.76333293181412,z=335.13154278260333,pitch=5.2499704,yaw=174.45096}
[2017/03/08 00:18:39] §f[§aD§f] §ffybit11§r executed /gm 1 at Location{world=CraftWorld{name=pvp},x=324.5538978935502,y=163.04543558811184,z=283.12953236323654,pitch=42.89997,yaw=133.35101}
[2017/03/08 00:18:39] §f[§aD§f] §ffybit11§r executed /gamemode 1 at Location{world=CraftWorld{name=pvp},x=324.5538978935502,y=163.04543558811184,z=283.12953236323654,pitch=42.89997,yaw=133.35101}
[2017/03/08 00:28:14] §f[§aD§f] §ffybit11§r executed /mv who at Location{world=CraftWorld{name=plot},x=322.30555455231377,y=133.13498026362953,z=341.46739495427704,pitch=52.94986,yaw=-83.09806}
[2017/03/08 00:28:20] §f[§aD§f] §ffybit11§r executed /mv list at Location{world=CraftWorld{name=plot},x=322.30555455231377,y=133.13498026362953,z=341.46739495427704,pitch=52.94986,yaw=-83.09806}
[2017/03/08 00:28:26] §f[§aD§f] §ffybit11§r executed /mv pvp at Location{world=CraftWorld{name=plot},x=321.98324480199756,y=133.13498026362953,z=339.8176988371002,pitch=52.94986,yaw=-83.09806}
[2017/03/08 00:28:41] §f[§aD§f] §ffybit11§r executed /world 4 at Location{world=CraftWorld{name=plot},x=320.0415177998696,y=133.13498026362953,z=339.2212110674059,pitch=52.94986,yaw=-83.09806}
[2017/03/08 00:28:44] §f[§aD§f] §ffybit11§r executed /world 3 at Location{world=CraftWorld{name=plot},x=317.88941493465836,y=65.0,z=339.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:28:48] §f[§aD§f] §ffybit11§r executed /world 2 at Location{world=CraftWorld{name=test},x=317.5,y=65.0,z=339.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:28:51] §f[§aD§f] §ffybit11§r executed /world 5 at Location{world=CraftWorld{name=test},x=317.5,y=65.0,z=339.5,pitch=0.0,yaw=0.0}
[2017/03/08 00:29:01] §f[§aD§f] §ffybit11§r executed /mv who at Location{world=CraftWorld{name=pvp},x=307.8265701193523,y=4.0,z=344.7276024245942,pitch=-0.75000024,yaw=153.45003}
[2017/03/08 00:29:08] §f[§aD§f] §ffybit11§r executed /gm 1 at Location{world=CraftWorld{name=pvp},x=329.0914635439161,y=15.012117311207287,z=321.40423968464023,pitch=5.7,yaw=257.55}
[2017/03/08 00:29:08] §f[§aD§f] §ffybit11§r executed /gamemode 1 at Location{world=CraftWorld{name=pvp},x=329.0914635439161,y=15.012117311207287,z=321.40423968464023,pitch=5.7,yaw=257.55}
[2017/03/08 00:29:13] §f[§aD§f] §ffybit11§r executed /tp 0 100 0 at Location{world=CraftWorld{name=pvp},x=329.0914635439161,y=15.012117311207287,z=321.40423968464023,pitch=5.7,yaw=257.55}
