[2017/03/11 00:00:57] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 0 at Location{world=CraftWorld{name=world},x=-80.43634323585923,y=44.66377085983595,z=203.49564000049588,pitch=28.199968,yaw=2.2494507}
[2017/03/11 00:01:24] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /deop fybit11 at Location{world=CraftWorld{name=world},x=-86.30430567130252,y=36.5,z=212.78122038368517,pitch=1.3499595,yaw=359.99957}
[2017/03/11 00:01:46] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /deop fybit11 at Location{world=CraftWorld{name=world},x=-65.16584066772567,y=37.0,z=211.85045748241762,pitch=29.699963,yaw=279.89972}
[2017/03/11 00:01:58] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 1 at Location{world=CraftWorld{name=world},x=-64.33512027546261,y=37.0,z=210.7688840880685,pitch=25.049967,yaw=331.1999}
[2017/03/11 00:02:17] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /deop fybit11 at Location{world=CraftWorld{name=world},x=-71.05275469954103,y=37.0,z=199.79175630804752,pitch=17.84998,yaw=223.80035}
[2017/03/11 00:02:39] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 3 at Location{world=CraftWorld{name=world},x=-67.28742842016204,y=37.0,z=199.72069373509788,pitch=25.04994,yaw=204.7492}
[2017/03/11 00:03:10] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 3 at Location{world=CraftWorld{name=world},x=-70.31707738502726,y=37.0,z=201.72525706170148,pitch=20.399921,yaw=170.69934}
[2017/03/11 00:03:36] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 1 at Location{world=CraftWorld{name=world},x=-67.3857030937588,y=39.418805522070514,z=201.65870956429467,pitch=27.299942,yaw=195.14954}
[2017/03/11 00:04:21] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /deop fybit11 at Location{world=CraftWorld{name=world},x=-79.9347203412742,y=37.0,z=209.58026680436478,pitch=19.34997,yaw=359.69962}
[2017/03/11 00:04:50] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /menu at Location{world=CraftWorld{name=world},x=-60.48014957001048,y=41.367537571984386,z=221.59841610492208,pitch=3.2999625,yaw=10.050018}
[2017/03/11 00:05:18] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /menu at Location{world=CraftWorld{name=world},x=-50.56341877008948,y=43.991721940931384,z=219.32180333820585,pitch=10.799962,yaw=38.399292}
[2017/03/11 00:06:09] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /menu at Location{world=CraftWorld{name=world},x=-65.53389226858052,y=43.991721940931384,z=268.9707297159026,pitch=8.399961,yaw=298.04944}
[2017/03/11 00:06:11] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /rankup at Location{world=CraftWorld{name=world},x=-65.382002364808,y=43.991721940931384,z=269.11807169312124,pitch=8.399961,yaw=298.04944}
[2017/03/11 00:07:23] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /pvp at Location{world=CraftWorld{name=world},x=-45.69523692457204,y=51.740418754669484,z=277.0510059962428,pitch=1.6499423,yaw=-45.450756}
[2017/03/11 00:07:23] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /warp pvp at Location{world=CraftWorld{name=world},x=-45.69523692457204,y=51.740418754669484,z=277.0510059962428,pitch=1.6499423,yaw=-45.450756}
