[2017/02/22 17:49:00] §6[§cAdmin§6]§d» §3chicken§r executed /spawn at Location{world=CraftWorld{name=world},x=-5131.255884678,y=101.1220623781035,z=771.118295189535,pitch=33.599957,yaw=-248.39966}
[2017/02/22 17:51:03] §6[§aMember§6] §ffybit§r executed /l anhthetq96 at Location{world=CraftWorld{name=world},x=-5039.540376204988,y=80.0169299136474,z=-179.0987411905374,pitch=56.400005,yaw=72.74995}
[2017/02/22 17:51:05] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-5004.801420311074,y=74.0,z=-186.703508074753,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:07] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-5002.4100734724925,y=74.0,z=-186.65825322818384,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:08] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-5000.920493901837,y=74.0,z=-186.62945468945802,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:10] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4998.767587403463,y=74.0,z=-186.5883139198497,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:11] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4997.045942529985,y=74.0,z=-186.55540130416304,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:12] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4994.461689391492,y=74.0,z=-186.50603238063306,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:14] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4992.524395250221,y=74.0,z=-186.46900568798557,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:15] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4990.5644237681,y=74.0,z=-186.43197899533808,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:20] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4988.432584431841,y=74.0,z=-185.6822431526761,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:22] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4988.473725201449,y=74.0,z=-183.53191361376668,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:23] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4988.510751894097,y=74.0,z=-181.59773714947778,pitch=43.049923,yaw=-177.59937}
[2017/02/22 17:51:27] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4990.41221782539,y=74.0,z=-181.86538544090382,pitch=39.299923,yaw=-73.349365}
[2017/02/22 17:51:54] §6[§aMember§6] §ffybit§r executed //set 5 at Location{world=CraftWorld{name=world},x=-5020.590216295395,y=56.40022766459492,z=-139.1984158943852,pitch=-53.7,yaw=260.09967}
[2017/02/22 17:52:03] §6[§aMember§6] §ffybit§r executed //undo at Location{world=CraftWorld{name=world},x=-5020.135148333228,y=56.39457987043654,z=-142.39808177443047,pitch=-24.749998,yaw=188.54974}
[2017/02/22 17:52:38] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4990.429544249613,y=74.0,z=-184.0470759618882,pitch=46.349926,yaw=-0.8991699}
[2017/02/22 17:52:40] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4992.581971272244,y=74.0,z=-184.03176170558146,pitch=46.349926,yaw=-0.8991699}
[2017/02/22 17:52:42] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4994.723775408202,y=74.0,z=-184.01644744927472,pitch=46.349926,yaw=-0.8991699}
[2017/02/22 17:52:43] §6[§cAdmin§6]§d» §3chicken§r executed /shopkeeper at Location{world=CraftWorld{name=world},x=-4996.4552110252625,y=74.0,z=-184.00419604422933,pitch=46.349926,yaw=-0.8991699}
[2017/02/22 17:56:12] §6[§cAdmin§6]§d» §3chicken§r executed /ce at Location{world=CraftWorld{name=world},x=-5015.667116728559,y=68.5,z=-169.17966829693262,pitch=67.05002,yaw=-9.752197}
[2017/02/22 17:56:15] §6[§cAdmin§6]§d» §3chicken§r executed /ce help at Location{world=CraftWorld{name=world},x=-5015.667116728559,y=68.5,z=-169.17966829693262,pitch=67.05002,yaw=-9.752197}
[2017/02/22 17:56:30] §6[§cAdmin§6]§d» §3chicken§r executed /ce book berserking at Location{world=CraftWorld{name=world},x=-5017.445117955399,y=69.0,z=-166.9881955406172,pitch=64.95002,yaw=-9.302246}
[2017/02/22 17:56:35] §6[§aMember§6] §ffybit§r executed //replace 5 2 at Location{world=CraftWorld{name=world},x=-5012.699999988079,y=45.45121277950237,z=-125.246759551686,pitch=63.59997,yaw=-23.100573}
[2017/02/22 17:56:57] §6[§cAdmin§6]§d» §3chicken§r executed /ce book lightnig at Location{world=CraftWorld{name=world},x=-5016.3736669816135,y=66.0,z=-165.99491416213664,pitch=64.95002,yaw=-9.302246}
[2017/02/22 17:56:59] §6[§cAdmin§6]§d» §3chicken§r executed /ce book lightning at Location{world=CraftWorld{name=world},x=-5016.240355235774,y=66.0,z=-165.14901142352676,pitch=64.95002,yaw=-9.302246}
[2017/02/22 17:57:03] §6[§aMember§6] §ffybit§r executed //replace 5 2 at Location{world=CraftWorld{name=world},x=-5013.431918798068,y=45.45103684393506,z=-125.30000001192093,pitch=72.599976,yaw=-333.00067}
[2017/02/22 17:57:36] §6[§cAdmin§6]§d» §3chicken§r executed /ce book lightning\ at Location{world=CraftWorld{name=world},x=-5017.400715208772,y=67.75370526523011,z=-159.62420803181305,pitch=39.60001,yaw=-98.852356}
[2017/02/22 17:57:48] §6[§cAdmin§6]§d» §3chicken§r executed /ce help at Location{world=CraftWorld{name=world},x=-5066.575895113362,y=78.6176328127451,z=-159.49111002402853,pitch=40.500004,yaw=-190.65204}
