[2017/03/03 01:00:08] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /t spawn at Location{world=CraftWorld{name=world},x=-4978.539867858282,y=66.0,z=-161.27519930925908,pitch=12.150014,yaw=99.29996}
[2017/03/03 01:00:31] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /spawn at Location{world=CraftWorld{name=world},x=10011.281091085228,y=67.0,z=99998.90653122826,pitch=8.849948,yaw=269.7007}
[2017/03/03 01:00:38] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /t spawn at Location{world=CraftWorld{name=world},x=-4969.5,y=67.0,z=-160.5,pitch=-6.5999975,yaw=89.39996}
[2017/03/03 01:03:31] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /plugins at Location{world=CraftWorld{name=world},x=9997.379284761912,y=69.0,z=99985.77700112731,pitch=-5.8500533,yaw=-85.64934}
[2017/03/03 01:04:05] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /placeholderapi at Location{world=CraftWorld{name=world},x=9997.379284761912,y=69.0,z=99985.77700112731,pitch=-5.8500533,yaw=-85.64934}
[2017/03/03 01:04:12] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /placeholderapi help at Location{world=CraftWorld{name=world},x=9997.379284761912,y=69.0,z=99985.77700112731,pitch=-5.8500533,yaw=-85.64934}
[2017/03/03 01:06:15] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi at Location{world=CraftWorld{name=world},x=9997.678465306923,y=69.0,z=99987.90869561284,pitch=14.849949,yaw=-119.69943}
[2017/03/03 01:07:33] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /t spawn at Location{world=CraftWorld{name=world},x=9997.678465306923,y=69.0,z=99987.90869561284,pitch=14.849949,yaw=-119.69943}
[2017/03/03 01:11:07] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
[2017/03/03 01:11:10] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi help at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
[2017/03/03 01:11:26] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi ecloud at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
[2017/03/03 01:15:24] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi ecloud list all at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
[2017/03/03 01:15:34] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi ecloud list all titlemanager at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
[2017/03/03 01:15:52] §f? §6[§1L§ce§6g§ae§bn§5d§6]§2» §3fybit§r executed /papi ecloud list all at Location{world=CraftWorld{name=world},x=9993.943795914742,y=69.0,z=99981.35723000938,pitch=8.249946,yaw=145.80069}
